식품이름,총내용량,열량(kcal),탄수화물(g),단백질(g),지방(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방(g)
쉬림프올인(클래식)L,100,207.0,,12.0,,3.0,330.0,,2.4,
콘샐러드,100,100.0,,2.0,,7.0,272.0,,1.0,
코울슬로,100,87.0,,1.0,,10.0,204.0,,1.0,
리치치즈파스타,366,690.0,,24.0,,0.0,930.0,,11.0,
그뤼에르 퐁듀소스,60,106.0,,3.0,,0.0,250.0,,1.0,
치즈크러스트 디핑소스,11,60.0,,0.0,,0.0,58.0,,1.0,
핫소스,2,1.0,,0.0,,0.0,12.0,,0.0,
바른생피클 M,70,55.0,,0.0,,11.0,5.0,,0.0,
러블리피스 크림치즈R,100,253.0,,12.0,,7.0,411.0,,5.0,
고르곤졸라L,100,275.0,,15.0,,3.0,419.0,,8.0,
치즈추가(샌드),30,94.0,,8.0,,0.0,133.0,,4.0,
핫윙(4ea),148,252.0,,22.0,,0.0,903.0,,4.0,
핫윙(8ea),296,503.0,,45.0,,0.0,1806.0,,9.0,
1회용 피클,75,52.0,,0.0,,12.0,270.0,,0.0,
1회용 갈릭디핑소스,10,52.0,,0.0,,0.0,32.0,,1.0,
1회용 핫소스,4,1.0,,0.0,,0.0,81.0,,0.0,
허니머스타드소스,12,29.0,,0.0,,1.0,68.0,,0.0,
전주불백피자R,85,1495.0,,85.0,,22.0,2200.0,,22.0,
전주불백피자L,93,2435.0,,116.0,,38.0,3740.0,,37.0,
꿈을피자R,91,230.0,,15.0,,1.0,350.0,,5.0,
꿈을피자L,57,135.0,,9.0,,0.7,210.0,,3.0,
부산피자R,92,185.0,,15.0,,3.0,350.0,,4.3,
부산피자L,95,205.0,,13.0,,2.0,350.0,,4.8,
쉬림프&핫치킨골드피자R,97,230.0,,13.0,,2.0,460.0,,4.0,
쉬림프&핫치킨골드피자L,96,225.0,,13.0,,2.0,450.0,,4.0,
단호박골드피자R,99,240.0,,9.0,,2.0,290.0,,4.0,
어깨피자R,20,55.0,,3.0,,1.0,80.0,,1.0,
어깨피자L,29,80.0,,5.0,,1.0,120.0,,2.0,
단호박피자R,87,215.0,,7.0,,0.9,240.0,,3.0,
단호박피자L,93,230.0,,8.0,,1.0,260.0,,3.0,
콤비네이션피자R,75,180.0,,9.0,,0.8,310.0,,3.0,
콤비네이션피자L,72,175.0,,9.0,,0.9,300.0,,3.0,
고구마골드피자R,100,235.0,,9.0,,7.0,280.0,,3.0,
목동피자R,39,95.0,,4.0,,1.0,140.0,,2.3,
목동피자L,65,155.0,,8.0,,2.0,200.0,,3.8,
고르곤졸라R,34,110.0,,8.0,,0.5,75.0,,3.0,
고르곤졸라L,34,80.0,,7.0,,1.0,170.0,,2.0,
포테이토피자R,82,185.0,,8.0,,2.0,290.0,,3.0,
베이컨체다치즈피자R,72,184.0,,11.0,,2.0,300.0,,4.0,
베이컨체다치즈피자L,73,185.0,,11.0,,2.0,300.0,,4.0,
불고기피자R,66,155.0,,7.0,,0.3,230.0,,2.0,
불고기피자L,70,165.0,,8.0,,0.4,250.0,,3.0,
야채피자R,70,155.0,,8.0,,4.0,170.0,,2.0,
야채피자L,70,155.0,,8.0,,4.0,170.0,,2.0,
하와이안피자R,70,170.0,,7.0,,4.0,260.0,,3.0,
하와이안피자L,74,180.0,,8.0,,4.0,280.0,,3.0,
페페로니피자R,53,155.0,,7.0,,2.0,250.0,,3.0,
페페로니피자L,58,170.0,,8.0,,2.0,270.0,,3.0,
치즈피자R,57,155.0,,10.0,,2.0,190.0,,3.0,
치즈피자L,61,165.0,,10.0,,2.0,210.0,,4.0,
고구마피자R,92,230.0,,8.0,,4.0,300.0,,3.0,
고구마피자L,93,235.0,,8.0,,4.0,300.0,,3.0,
핫&스파이시치킨피자R,77,185.0,,9.0,,3.0,330.0,,3.0,
핫&스파이시치킨피자L,77,185.0,,9.0,,3.0,330.0,,3.0,
콰트로포르마지오R,66,200.0,,11.0,,2.0,360.0,,4.0,
콰트로포르마지오L,62,190.0,,11.0,,2.0,340.0,,4.0,
쉬림프&안심골드피자R,97,215.0,,14.0,,1.0,400.0,,4.0,
쉬림프&안심골드피자L,96,215.0,,14.0,,1.0,400.0,,4.0,
바게트스틱,85,330.0,,5.0,,11.0,230.0,,10.0,
콘치즈그라탕 R,95,365.0,,13.0,,5.0,260.0,,19.0,
토핑들의 수다L,94,203.0,,9.0,,5.0,311.0,,4.0,
슈프림콤비L,100,240.0,,11.0,,6.0,277.0,,3.0,
페페로니M,100,282.0,,15.0,,6.0,387.0,,7.0,
